H,S,V,R,G,B,bias,label
78.0,157.0,145.0,35.0,127.0,157.0,1.0,1.0
81.0,148.0,146.0,31.0,119.0,150.0,1.0,1.0
69.0,147.0,134.0,35.0,135.0,147.0,1.0,1.0
45.0,98.0,74.0,44.0,136.0,98.0,1.0,1.0
75.0,162.0,133.0,41.0,138.0,162.0,1.0,1.0
69.0,151.0,119.0,41.0,139.0,151.0,1.0,1.0
39.0,83.0,61.0,44.0,134.0,83.0,1.0,1.0
66.0,151.0,125.0,39.0,142.0,151.0,1.0,1.0
58.0,125.0,109.0,37.0,137.0,125.0,1.0,1.0
71.0,150.0,131.0,38.0,135.0,150.0,1.0,1.0
40.0,123.0,86.0,43.0,167.0,123.0,1.0,1.0
52.0,129.0,109.0,38.0,150.0,129.0,1.0,1.0
64.0,133.0,119.0,36.0,131.0,133.0,1.0,1.0
65.0,129.0,123.0,34.0,128.0,132.0,1.0,1.0
29.0,65.0,44.0,47.0,140.0,65.0,1.0,1.0
43.0,107.0,79.0,43.0,150.0,107.0,1.0,1.0
43.0,129.0,95.0,42.0,164.0,129.0,1.0,1.0
42.0,119.0,88.0,42.0,165.0,119.0,1.0,1.0
50.0,134.0,100.0,42.0,160.0,134.0,1.0,1.0
52.0,131.0,112.0,37.0,153.0,131.5,1.0,1.0
40.0,113.0,87.0,41.0,159.0,113.0,1.0,1.0
85.0,143.0,161.0,22.0,121.0,161.0,1.0,1.0
59.0,134.0,116.0,37.0,142.5,134.0,1.0,1.0
60.0,138.0,117.0,38.0,144.0,138.0,1.0,1.0
48.0,137.0,106.0,40.0,165.0,137.0,1.0,1.0
56.0,127.0,108.0,38.0,141.0,127.0,1.0,1.0
53.0,129.0,100.0,42.0,152.0,129.0,1.0,1.0
87.0,146.0,153.0,27.0,115.0,157.0,1.0,1.0
68.0,146.0,137.0,34.0,138.0,146.0,1.0,1.0
66.0,135.0,126.0,34.0,129.0,135.0,1.0,1.0
53.0,121.0,106.0,38.0,141.0,121.0,1.0,1.0
55.0,121.0,96.0,41.0,138.0,121.0,1.0,1.0
76.0,158.0,133.0,39.0,134.0,158.0,1.0,1.0
68.0,135.0,123.0,35.0,129.0,136.0,1.0,1.0
55.0,122.0,101.0,40.0,138.0,122.0,1.0,1.0
57.0,123.0,106.0,38.0,135.0,123.0,1.0,1.0
70.0,150.0,128.0,39.0,137.0,150.0,1.0,1.0
70.0,136.0,115.0,40.0,124.0,136.0,1.0,1.0
76.0,150.0,142.0,33.0,126.0,150.0,1.0,1.0
80.0,159.0,149.0,34.0,127.0,159.0,1.0,1.0
74.0,152.0,134.0,37.0,132.0,152.0,1.0,1.0
75.0,158.0,137.0,38.0,134.0,158.0,1.0,1.0
69.0,157.0,131.0,39.0,143.0,157.0,1.0,1.0
68.0,148.5,130.0,38.0,137.0,148.5,1.0,1.0
76.0,146.0,140.0,33.0,123.0,146.5,1.0,1.0
70.0,140.0,132.0,34.0,127.0,140.0,1.0,1.0
62.0,143.0,111.0,42.0,144.0,143.0,1.0,1.0
63.0,140.0,115.0,40.0,141.0,140.0,1.0,1.0
58.0,136.0,107.0,41.0,147.0,136.0,1.0,1.0
69.0,138.0,118.5,40.0,128.0,139.0,1.0,1.0
71.0,140.0,116.0,40.0,127.0,140.0,1.0,1.0
64.0,139.0,111.0,41.0,138.0,139.0,1.0,1.0
76.0,151.0,124.0,41.0,127.0,151.0,1.0,1.0
79.0,150.0,120.0,42.0,121.0,150.0,1.0,1.0
64.0,139.0,110.0,42.0,137.0,139.0,1.0,1.0
71.0,139.0,107.0,44.0,125.0,139.0,1.0,1.0
61.0,133.0,103.0,42.0,138.0,133.0,1.0,1.0
74.0,146.0,118.0,41.0,125.0,146.0,1.0,1.0
67.0,142.0,107.0,44.0,135.0,142.0,1.0,1.0
70.0,137.0,113.0,41.0,124.0,137.0,1.0,1.0
68.0,140.0,117.0,39.0,130.0,140.0,1.0,1.0
72.0,139.0,110.0,43.0,123.0,139.0,1.0,1.0
79.0,145.0,120.0,41.0,115.0,145.0,1.0,1.0
59.0,113.0,84.0,46.0,120.0,113.0,1.0,1.0
61.0,119.0,94.0,43.0,124.0,119.0,1.0,1.0
62.0,114.0,101.0,37.0,117.0,114.0,1.0,1.0
63.0,116.0,97.0,41.0,117.0,116.0,1.0,1.0
63.0,118.0,91.0,45.0,118.0,118.0,1.0,1.0
55.0,109.0,89.0,41.0,125.0,109.0,1.0,1.0
69.0,133.0,120.0,36.0,123.0,133.0,1.0,1.0
59.0,133.0,103.0,42.0,142.0,133.0,1.0,1.0
56.0,125.0,97.0,42.0,142.0,125.0,1.0,1.0
60.0,133.0,104.0,42.0,140.0,133.0,1.0,1.0
55.0,123.0,96.0,42.0,141.0,123.0,1.0,1.0
67.0,136.0,112.0,40.0,128.0,136.0,1.0,1.0
60.0,134.0,101.0,43.0,141.0,134.0,1.0,1.0
60.0,127.0,98.0,43.0,136.0,127.0,1.0,1.0
69.0,136.0,111.0,41.0,125.0,136.0,1.0,1.0
56.0,130.0,102.0,42.0,145.0,130.0,1.0,1.0
61.0,130.0,100.0,43.0,136.0,130.0,1.0,1.0
70.0,143.0,115.0,41.0,130.0,143.0,1.0,1.0
57.0,118.0,92.0,43.0,133.0,118.0,1.0,1.0
56.0,132.0,91.0,46.0,147.0,132.0,1.0,1.0
57.0,126.0,86.0,47.0,139.0,126.0,1.0,1.0
54.0,108.0,104.0,31.0,130.0,111.0,1.0,1.0
62.0,133.0,110.0,40.0,137.0,133.0,1.0,1.0
54.0,123.0,92.0,43.0,142.0,123.0,1.0,1.0
61.0,136.0,102.0,44.0,141.0,136.0,1.0,1.0
56.0,116.0,97.0,40.0,132.0,116.0,1.0,1.0
54.0,120.0,87.0,45.0,139.0,120.0,1.0,1.0
54.0,113.0,94.0,43.0,132.0,113.0,1.0,1.0
60.0,127.0,106.0,39.0,136.0,127.0,1.0,1.0
54.0,113.0,90.0,42.0,133.0,113.0,1.0,1.0
58.0,123.0,101.0,40.0,136.0,123.0,1.0,1.0
54.0,113.0,90.0,41.0,133.0,113.0,1.0,1.0
58.0,124.0,98.0,42.0,136.0,124.0,1.0,1.0
54.0,115.0,98.0,38.0,135.0,115.0,1.0,1.0
51.0,108.0,88.0,40.0,135.0,108.0,1.0,1.0
68.0,135.0,99.0,46.0,128.0,135.0,1.0,1.0
67.0,142.0,101.0,46.0,136.0,142.0,1.0,1.0
73.0,132.0,111.5,40.0,114.0,132.0,1.0,1.0
67.0,120.0,124.0,28.0,123.0,131.0,1.0,1.0
68.0,125.0,105.0,41.0,117.0,125.0,1.0,1.0
64.0,123.0,99.0,43.0,122.0,123.0,1.0,1.0
50.0,101.0,94.0,34.0,129.0,102.0,1.0,1.0
69.0,128.0,124.0,32.0,122.0,134.0,1.0,1.0
70.0,125.0,109.0,39.0,111.0,125.0,1.0,1.0
65.0,120.0,97.0,42.0,118.0,120.0,1.0,1.0
63.0,117.0,118.0,30.0,123.0,124.0,1.0,1.0
63.0,130.0,109.0,39.0,132.0,130.0,1.0,1.0
69.0,130.0,109.0,41.0,119.0,130.0,1.0,1.0
65.0,123.0,100.0,41.0,121.0,123.0,1.0,1.0
61.0,113.0,107.0,33.0,117.0,113.0,1.0,1.0
69.0,127.0,103.0,43.0,116.0,127.0,1.0,1.0
80.0,157.0,140.0,37.0,127.0,159.0,1.0,1.0
80.0,154.0,136.0,38.0,123.0,154.0,1.0,1.0
71.0,131.0,108.0,41.0,115.0,131.0,1.0,1.0
68.0,130.0,105.0,42.0,121.0,130.0,1.0,1.0
69.0,146.0,116.0,42.0,134.0,146.0,1.0,1.0
80.0,155.0,128.0,41.0,122.0,155.0,1.0,1.0
63.0,122.0,117.0,32.0,124.0,124.0,1.0,1.0
74.0,129.0,116.0,37.0,108.0,129.0,1.0,1.0
54.0,120.0,96.0,41.0,140.0,120.0,1.0,1.0
58.0,125.0,105.0,39.0,136.0,125.0,1.0,1.0
77.0,133.0,121.0,35.0,108.0,133.0,1.0,1.0
88.0,145.0,145.0,30.0,103.0,148.0,1.0,1.0
56.0,124.0,98.0,42.0,141.0,124.0,1.0,1.0
77.0,140.5,127.0,37.0,115.0,141.0,1.0,1.0
72.0,130.0,121.0,34.0,115.0,130.0,1.0,1.0
70.0,128.0,112.0,38.0,116.0,128.0,1.0,1.0
78.0,133.5,117.0,39.0,105.0,133.5,1.0,1.0
67.0,124.0,110.0,38.0,116.0,124.0,1.0,1.0
60.0,115.5,98.0,39.0,122.0,116.0,1.0,1.0
63.0,114.0,110.0,32.0,117.0,116.0,1.0,1.0
70.0,123.0,112.0,36.0,109.0,123.0,1.0,1.0
57.0,115.0,94.0,40.0,129.0,115.0,1.0,1.0
60.0,116.0,93.0,42.0,124.0,116.0,1.0,1.0
76.0,127.0,120.0,33.0,104.0,128.0,1.0,1.0
70.0,125.0,109.0,39.0,113.0,125.0,1.0,1.0
63.0,122.0,112.0,36.0,125.0,123.0,1.0,1.0
61.0,122.0,102.0,39.0,127.0,122.0,1.0,1.0
60.0,117.5,93.0,43.0,124.0,117.5,1.0,1.0
58.0,120.0,99.0,39.0,131.5,120.0,1.0,1.0
59.0,124.0,91.0,45.0,134.0,124.0,1.0,1.0
58.0,122.0,97.0,42.0,134.0,122.0,1.0,1.0
60.0,131.0,106.0,41.0,137.0,131.0,1.0,1.0
60.0,137.0,99.0,45.0,144.0,137.0,1.0,1.0
62.0,129.0,99.0,43.0,133.0,129.0,1.0,1.0
57.0,128.0,102.0,41.0,141.0,128.0,1.0,1.0
55.0,129.0,88.0,47.0,145.0,129.0,1.0,1.0
59.0,129.0,88.0,48.0,139.0,129.0,1.0,1.0
61.0,128.0,99.0,43.0,134.0,128.0,1.0,1.0
56.0,126.0,91.0,45.0,142.0,126.0,1.0,1.0
56.0,120.0,87.0,45.0,135.0,120.0,1.0,1.0
61.0,132.0,101.0,43.0,138.0,132.0,1.0,1.0
56.0,126.0,96.0,43.0,142.0,126.0,1.0,1.0
57.0,128.0,97.0,44.0,140.0,128.0,1.0,1.0
55.0,128.0,91.0,45.0,144.0,128.0,1.0,1.0
